Data,Effectsize,T-Statistic,P-Value,0.05 significant,0.1 significant
"News, Discussion",-1.0810982878274205,-9.718080423033937,2.1142890694492635e-19,yes,yes
"News, Science/Education",-0.13732118784622963,-1.1566174133630915,0.24918166911266024,no,no
"News, Documentary",-0.6696002155933386,-6.46399885448743,3.2917868184212685e-09,yes,yes
"Discussion, Science/Education",0.994313113663248,10.78538110562257,1.7719159580973695e-23,yes,yes
"Discussion, Documentary",0.573964060956367,6.986269408837081,2.830449681037368e-11,yes,yes
"Science/Education, Documentary",-0.5498738498208064,-9.018784632497127,9.183817630165048e-18,yes,yes
