Data,Effectsize,T-Statistic,P-Value,0.05 significant,0.1 significant
"News, Discussion",-1.2574560452827317,-11.51900677828027,1.3278607251019025e-25,yes,yes
"News, Science/Education",-0.09570657196140339,-0.7751153132889095,0.4395874310523321,no,no
"News, Documentary",-0.4458367441000044,-3.95880957529529,0.00013964007850991646,yes,yes
"Discussion, Science/Education",1.2533761771482004,13.433539888569126,2.887544640547684e-32,yes,yes
"Discussion, Documentary",1.013042539672607,11.603152668879478,8.774147349133104e-25,yes,yes
"Science/Education, Documentary",-0.39631818056002416,-6.42367722325826,3.9994658854339016e-10,yes,yes
