Data,Effectsize,T-Statistic,P-Value,0.05 significant,0.1 significant
"News, Discussion",-0.6836879941648735,-5.303988486402,4.2191334570813766e-07,yes,yes
"News, Science/Education",0.017626250350458755,0.1531114843613089,0.8784868051026524,no,no
"News, Documentary",-1.1398198268128623,-9.517831893135861,1.124729299344169e-15,yes,yes
"Discussion, Science/Education",0.6723591169046726,7.733787571541371,5.702484953761148e-14,yes,yes
"Discussion, Documentary",-0.5347182172593785,-7.366842704328007,2.3267671654359013e-12,yes,yes
"Science/Education, Documentary",-1.1059066886203053,-15.432145038826523,1.1914899426807716e-40,yes,yes
