Data,Effectsize,T-Statistic,P-Value,0.05 significant,0.1 significant
"Dialog, Monolog",1.12635266218048,14.372163184620335,7.019300534946676e-39,yes,yes
"Dialog, Cooperative Monolog",0.9014298409953654,12.289858382044137,5.186052327204378e-29,yes,yes
"Dialog, Speech",1.809715623443668,23.527224581084774,1.3850527579770152e-72,yes,yes
"Monolog, Cooperative Monolog",-0.43129940692913016,-6.939846583686381,1.590346243111577e-11,yes,yes
"Monolog, Speech",1.242901460735602,16.935398758113497,4.776850554595302e-47,yes,yes
"Cooperative Monolog, Speech",1.9214691919027764,62.32232884869444,0.0,yes,yes
