names,Begin,Middle,End
Dialog,14.867195584684374,70.44402945129711,14.688774964018508
Monolog,14.375683004816448,69.72356012466102,15.900756870522525
Cooperative-Monolog,14.26336311623168,69.87038561015754,15.866251273610784
Speech,14.924642564429469,69.8396662416902,15.235691193880339
