names,Begin,Middle,End
Dialog,37497.0,177669.0,37047.0
Monolog,17759.0,86133.0,19643.0
Cooperative-Monolog,145589.0,713181.0,161950.0
Speech,14.924642564429469,69.8396662416902,15.235691193880339
