Data,Effectsize,T-Statistic,P-Value
"Monolog, Dialog",2.2158718237310678e-16,0.0,1.0
"Monolog, Cooperative Monolog",0.0,0.0,1.0
"Dialog, Cooperative Monolog",-2.162832722152733e-16,0.0,1.0
