Data,Temporal,Contingency,Comparison,Expansion
Spotify,0.015438222377915794,0.016744878359184374,0.009701018530199397,0.03900170301428083
TED,0.012014103248860345,0.020557454778838722,0.007741457254863152,0.044919662612564755
NYTimes,0.010942344541406185,0.012519331979278703,0.006473772678787654,0.03322855223815439
Gigaword,0.011007168906669305,0.011942210147690592,0.005870168382891891,0.030132805969910248
