Data,Temporal,Contingency,Comparison,Expansion
Spotify,19.09,20.7,11.99,48.22
TED,14.1,24.12,9.08,52.7
NYTimes,17.32,19.82,10.25,52.61
Gigaword,18.67,20.26,9.96,51.11
