Data,Temporal,Contingency,Comparison,Expansion
Spotify,95.81,103.92,60.2,242.04
TED,24.98,42.74,16.09,93.39
NYTimes,7.03,8.04,4.16,21.35
Gigaword,5.2,5.64,2.77,14.24
