Data,and,for,so,but,with,if,as,or,because,when,then,next,also,still,once,before,after
News,20.20618556701031,7.103092783505154,6.412371134020619,4.731958762886598,3.9381443298969074,3.5051546391752577,2.4948453608247423,2.2268041237113403,1.8350515463917525,1.3195876288659794,1.2577319587628866,1.0618556701030928,0.9587628865979382,0.5979381443298969,0.4948453608247423,0.0,0.0
Discussion,38.69090909090909,10.745454545454546,12.186363636363636,9.881818181818181,7.277272727272727,4.9818181818181815,4.9,4.613636363636363,6.2272727272727275,4.0,2.6136363636363638,1.5636363636363637,1.459090909090909,1.4545454545454546,0.0,0.8636363636363636,0.0
Science/Education,22.376712328767123,7.791095890410959,6.818493150684931,4.537671232876712,4.2020547945205475,3.1198630136986303,2.952054794520548,2.8116438356164384,1.4691780821917808,1.7294520547945205,1.0171232876712328,1.5650684931506849,1.0890410958904109,0.6095890410958904,0.0,0.0,0.5513698630136986
Documentary,26.721122871606074,8.573861021629083,1.9157846295444088,5.063046479521399,5.992636907501151,2.3230556833870226,5.300966405890474,3.016106764841233,0.0,1.6318453750575241,0.946617579383341,1.6378278877128394,0.9576622181316152,0.9631845375057524,0.0,0.7510354348826507,1.5075931891394385
Presentation,10.233484619263741,2.238527483610691,2.1563287947554213,1.8265254664649522,1.7201210287443267,1.1482602118003025,1.2349974785678266,0.9611699445284921,0.8688855269793243,0.8149268784669692,0.5007564296520424,0.2188603126575895,0.3983862834089763,0.2087745839636914,0.0,0.18608169440242056,0.0
