Data,and,so,for,but,with,as,or,if,because,then,when,also,still,next,before,after,while
"Δ (News, Discussion)",108.72239925023429,33.45417057169635,17.236129334582944,29.49390815370197,17.509559512652295,8.256794751640113,6.961293345829429,8.281021555763822,21.70801312089972,8.625585754451734,17.214573570759136,1.676663542642924,4.213495782567947,2.577319587628866,3.09058106841612,4.4409090909090905,0.0
"Δ (News, Science/Education)",9.725886174269178,0.08431012568846086,1.2290636915689888,0.5686696794238095,1.4101821776585233,0.6428470555006349,0.8566233582827287,1.54730970201949,0.12233441604293027,0.7952619686484956,2.8032410676458124,0.2996751871204628,0.20297274396271714,2.577319587628866,0.25328343454314384,3.671232876712329,0.0
"Δ (News, Documentary)",17.88927370114004,21.998216158002855,9.160341776535834,5.317068426471078,10.251336695432702,11.699375180874936,2.3602269654285735,4.831460141094312,9.278350515463918,2.101958905214417,3.411555121192137,0.45388815879989153,1.4834116927047507,2.577319587628866,2.6646993799251355,8.710998619420156,3.985734008283479
"Δ (News, Presentation)",39.32010751178834,21.840442732296687,15.008635255340497,12.837728943441936,9.512734532183352,7.750586167994968,8.532141761675271,8.065567634168787,5.50880941611949,4.892431024533275,3.2463465227630737,2.6675348711470175,1.9286304724176118,2.577319587628866,1.1642830034676188,0.9606656580937972,0.0
"Δ (Discussion, Science/Education)",98.99651307596511,33.53848069738481,18.465193026151933,30.06257783312578,16.099377334993772,7.613947696139478,6.1046699875467,9.828331257783312,21.58567870485679,7.830323785803239,14.411332503113325,1.9763387297633868,4.01052303860523,0.0,2.8372976338729763,0.7696762141967617,0.0
"Δ (Discussion, Documentary)",90.83312554909425,55.45238672969921,8.07578755804711,24.17683972723089,7.258222817219593,3.442580429234823,9.321520311258002,13.112481696858133,30.986363636363638,10.727544659666151,13.803018449567,1.2227753838430324,2.7300840898631966,0.0,0.4258816884909846,4.270089528511066,3.985734008283479
"Δ (Discussion, Presentation)",148.04250676202264,55.29461330399304,32.24476458992344,42.331637097143904,27.022294044835647,16.007380919635082,15.4934351075047,16.346589189932608,27.216822537019212,13.518016778985011,20.460920093522212,4.344198413789941,6.142126254985559,0.0,4.254864071883739,3.480243432815293,0.0
"Δ (Science/Education, Documentary)",8.163387526870864,21.913906032314394,10.389405468104822,5.885738105894887,8.841154517774179,11.056528125374301,3.216850323711302,3.284150439074822,9.400684931506849,2.8972208738629126,0.6083140535463247,0.7535633459203543,1.2804389487420336,0.0,2.4114159453819917,5.039765742707827,3.985734008283479
"Δ (Science/Education, Presentation)",49.04599368605752,21.756132606608226,13.779571563771508,12.269059264018127,10.922916709841875,8.393433223495602,9.388765119958,6.518257932149296,5.6311438321624205,5.687692993181771,6.049587590408886,2.3678596840265547,2.131603216380329,0.0,1.4175664380107627,2.7105672186185314,0.0
"Δ (Documentary, Presentation)",57.209381212928385,0.1577734257061696,24.16897703187633,18.154797369913013,19.764071227616054,19.449961348869905,6.171914796246698,3.2341074930744735,3.7695410993444276,2.790472119318858,6.657901643955211,3.121423029946909,3.4120421651223625,0.0,3.8289823833927543,7.750332961326359,3.985734008283479
