Data,and,for,with,but,so,or,as,if,because,then,when,also,next,still,before,after,while
News,96.09278350515464,28.536082474226806,20.65979381443299,19.52577319587629,13.835051546391753,13.536082474226804,13.525773195876289,10.907216494845361,10.505154639175258,7.216494845360825,6.979381443298969,4.082474226804123,2.814432989690722,2.731958762886598,2.3092783505154637,0.0,0.0
Discussion,214.65,46.404545454545456,39.15,49.04545454545455,35.44090909090909,23.118181818181817,23.272727272727273,19.304545454545455,35.08181818181818,16.09090909090909,24.490909090909092,6.031818181818182,0.0,6.8,5.55,4.681818181818182,0.0
Science/Education,107.55479452054794,27.455479452054796,20.78767123287671,19.763698630136986,12.465753424657533,15.373287671232877,14.66095890410959,9.034246575342467,10.321917808219178,7.763698630136986,9.818493150684931,3.6986301369863015,0.0,2.75,2.506849315068493,3.48972602739726,0.0
Documentary,122.85181776346066,37.17395306028532,29.840773124712378,25.993557294063507,6.007823285780027,12.778186838472159,27.063966866083756,7.049700874367234,0.0,4.923147722043258,10.704555913483663,3.7510354348826507,0.0,4.055683387022549,4.93971468016567,8.531063046479522,4.069949378739071
