Data,and,for,with,or,as,so,but,next,then,if,yet,before,when,because,also,though,else,still,later,after,instead
News,8.907216494845361,4.515463917525773,2.8350515463917527,2.6082474226804124,2.2783505154639174,1.6082474226804124,0.979381443298969,0.7010309278350515,0.7010309278350515,0.5463917525773195,0.41237113402061853,0.3711340206185567,0.36082474226804123,0.31958762886597936,0.28865979381443296,0.0,0.0,0.0,0.0,0.0,0.0
Discussion,17.927272727272726,8.695454545454545,6.0227272727272725,3.459090909090909,3.3181818181818183,3.559090909090909,2.290909090909091,0.740909090909091,1.2636363636363637,0.7090909090909091,0.0,0.0,1.2636363636363637,1.3363636363636364,0.0,0.8909090909090909,0.8681818181818182,0.7227272727272728,0.0,0.0,0.0
Science/Education,10.684931506849315,4.921232876712328,3.1027397260273974,2.5342465753424657,1.952054794520548,1.202054794520548,0.9965753424657534,0.6404109589041096,0.6404109589041096,0.0,0.363013698630137,0.0,0.4897260273972603,0.0,0.0,0.4897260273972603,0.0,0.3561643835616438,0.5445205479452054,0.523972602739726,0.0
Documentary,13.801196502531063,6.760239300506212,4.302346985734008,1.9981592268752877,3.6382880809940175,0.728025770823746,1.2360791532443627,0.9337321675103544,0.0,0.0,0.5236999539806719,0.6258628624022089,0.7050161067648413,0.0,0.0,0.9291302346985734,0.0,0.0,0.9088817303267372,1.0069028992176714,0.48918545789231477
