Data,so,and,but,if,for,when,then,with,also,as,because,or,once,anyway,still,before,in fact,next,however,after
"Δ (News, Discussion)",21.799906279287722,22.11321462043112,10.63945641986879,2.475773195876288,2.1322399250234305,5.5294283036551075,2.6112464854732895,2.1173383317713212,0.3337394564198686,2.1195407685098404,4.8983130271790065,0.64203373945642,0.8762886597938144,0.13978444236176202,1.3904404873477039,0.9272727272727272,0.0,0.0,0.0,0.0
"Δ (News, Science/Education)",0.6022101398107615,1.4548086428470555,0.9003318740290922,0.4947747493291912,0.14108176811184858,1.2176599350374238,0.2039613049004374,0.5568775596667139,0.10729416749046772,0.7251447535658806,0.012957209433695827,0.13306736336675629,0.8762886597938144,0.8556701030927835,0.06242056206750457,0.0,0.8767123287671232,0.7705479452054794,0.0,0.0
"Δ (News, Documentary)",23.451463841617603,1.6003861828153383,0.19467124645959544,2.681773973935032,1.6606715026496701,0.7375569904308259,0.27900996769158537,1.5801756325285488,0.8196659091663858,2.469373425498503,1.7835051546391754,0.1943723580398613,0.4785203599944967,0.8556701030927835,0.4776094619534018,0.0,0.0,0.0,2.3359410952600093,1.9498389323515877
"Δ (Discussion, Science/Education)",21.19769613947696,20.658405977584064,11.539788293897882,2.970547945205479,1.991158156911582,4.311768368617684,2.407285180572852,1.5604607721046073,0.4410336239103363,1.3943960149439598,4.911270236612702,0.5089663760896637,0.0,0.9954545454545455,1.3280199252801992,0.9272727272727272,0.8767123287671232,0.7705479452054794,0.0,0.0
"Δ (Discussion, Documentary)",45.25137012090532,23.713600803246457,10.444785173409194,5.15754716981132,0.4715684223737604,4.791871313224282,2.890256453164875,0.5371626992427725,0.48592645274651725,0.3498326569886627,6.681818181818182,0.44766138141655865,1.3548090197883111,0.9954545454545455,0.9128310253943019,0.9272727272727272,0.0,0.0,2.3359410952600093,1.9498389323515877
"Δ (Science/Education, Documentary)",24.053673981428364,3.0551948256623938,1.0950031204886876,2.1869992246058407,1.5195897345378215,0.48010294460659786,0.48297127259202277,1.0232980728618348,0.9269600766568535,1.7442286719326225,1.7705479452054795,0.06130499467310502,1.3548090197883111,0.0,0.41518889988589724,0.0,0.8767123287671232,0.7705479452054794,2.3359410952600093,1.9498389323515877
