Data,and,so,for,but,with,if,as,or,because,then,when,also,next,still,before,after
News,30.59404443996574,11.387111402227037,9.006398951982668,7.184964982113166,6.325893082077896,4.625384189046203,4.413765304580037,4.22481987202096,3.0810701869300146,2.531868796291631,2.3907895399808536,1.6375270821786667,0.9875547941754421,0.8993802589812062,0.7885322718798811,0.0
Discussion,33.01253357206804,11.043299779461536,7.330174465576348,8.511474550734764,5.966548027163351,3.5984889839945846,3.7191300740223157,3.4063366596065245,5.176103238203376,2.6912243160032316,4.0504836561346815,1.0923204576719,0.0,1.1632858047470358,0.8586806996091447,0.7418608205777671
Science/Education,32.34101849505954,10.501646820369901,8.397200405371168,6.648245502913605,6.204870787940208,3.776602482898404,4.53033949835318,4.43533063085888,2.871643020015201,2.554946795034203,3.2295097542437294,1.420382569039777,0.8693311375728401,0.9112933873828224,0.0,1.1036863440587787
Documentary,32.212431799648996,2.995945695619709,10.249770357936066,7.536270078164239,7.908471643740654,2.5372344793474917,7.351219633298386,3.343703033184949,0.0,1.557555653587095,3.0273603480246964,1.4832681168968815,1.1209970189500058,1.2017775537056876,1.3304916918270342,2.3835986868866263
Presentation,37.85658182314908,8.39973590747655,7.375523631727529,6.6694745469447225,6.316592295783626,3.8045829159457245,4.5396594117111375,3.524838357162371,3.041901921500774,2.2003915854658045,3.401898734177215,1.4641767598579365,0.0,0.6699071122848557,0.7259698570257718,0.753858938165923
