Data,so,and,but,if,for,when,then,with,also,as,because,or,once,anyway,still,before,in fact,next,however,after
News,0.0065810104529616725,0.004266114982578397,0.001879355400696864,0.0015788327526132405,0.0008035714285714286,0.0005161149825783973,0.0005161149825783973,0.0005052264808362369,0.0004921602787456446,0.0004769163763066202,0.00037674216027874563,0.0002417247386759582,0.00018510452961672475,0.00018074912891986064,0.0001633275261324042,0.0,0.0,0.0,0.0,0.0
Discussion,0.005423298957842114,0.004333052935587501,0.002000801624103468,0.0010190215810056984,0.0006079681063469357,0.0008165207186313362,0.0005176573769202086,0.0004617950700583156,0.00027279426517557755,0.0004482950125666914,0.0006843132590581895,0.00018294905497269964,0.0,0.00010194871002295476,0.00022158715055217563,9.496592166521813e-05,0.0,0.0,0.0,0.0
Science/Education,0.006333826032550934,0.004318176229676157,0.0015948974211157589,0.0013920346656248036,0.0007868615970558261,0.0007301693118512832,0.0005279895959411056,0.0005880970790495368,0.00044329268792467986,0.0005949274748573131,0.0003531314632620331,0.00025477376363005483,0.0,0.0,0.00016666165770974097,0.0,0.0001748581326790725,0.00015368390567496607,0.0,0.0
Documentary,0.0012687501435387767,0.003062766939489509,0.0014974268376696381,0.0007893401036389761,0.0009000781381517997,0.0005239023234446517,0.0003564688407349822,0.0006541957398221627,0.000518748191790393,0.0007785770640080241,0.0,0.00022049072032703874,0.0002231435822079072,0.0,0.00020601367406287085,0.0,0.0,0.0,0.0003847407687796661,0.0003211478796925621
