names,Min,Mean,Mode,Max
News,4.0,149.24742268041237,147.0,487.0
Discussion,4.0,299.16818181818184,155.0,718.0
Science/Education,5.0,159.71917808219177,139.0,469.0
Documentary,3.0,182.5734008283479,192.0,622.0
