,Oral-Acoustic → Literate-Written
and,-5.82
with,23.64
or,-10.81
also,58.93
without,13.22
finally,-70.4
else,-57.95
in fact,-68.14
instead,-47.68
further,68.57
as well,96.5
rather,-34.17
particularly,45.46
anyway,-63.74
essentially,-61.64
overall,274.34
rather than,87.78
for example,40.59
unless,99.34
