,Oral-Acoustic → Literate-Written
but,-13.82
still,3.43
while,58.79
though,-14.54
however,39.68
yet,20.62
despite,67.77
although,118.06
even though,-19.87
even if,-5.09
instead of,21.54
by the way,-81.62
regardless,-27.51
on the other hand,-55.14
as though,-46.79
nevertheless,42.45
nonetheless,242.23
in contrast,288.33
