names,Min,Mean,Mode,Max
Dialog,4.88,8.51,10.08,11.76
Monolog,4.22,8.73,8.51,11.02
Cooperative-Monolog,3.2,7.85,7.39,13.07
Speech,4.66,8.56,9.09,17.99
