Data,Temporal,Contingency,Comparison,Expansion
Dialog,109.07,218.21,86.96,357.05
Monolog,55.39,111.95,35.7,184.21
Cooperative-Monolog,99.81,85.22,59.77,233.07
Speech,24.98,42.74,16.09,93.39
