Data,Dialog,Monolog,Cooperative-Monolog,Speech
Temporal,14.14161839397652,14.304448132108309,20.88702092640489,14.095653856661507
Contingency,28.291563083584112,28.907597037276886,17.83339211536954,24.119217284400328
Comparison,11.274993755278278,9.219249605374994,12.50675993416412,9.082733812949641
Expansion,46.29182476716109,47.56870522523981,48.77282702406145,52.702395045988524
