Marker,Dialog,Monolog,Cooperative-Monolog,Speech
as,27.655816300782234,28.48169316959991,35.8249139297742,32.20609315378248
when,26.486668348893936,21.883311640541,14.46495745738703,24.134380488986697
then,18.725993215016683,19.065134966894913,7.23552753778178,15.610425793947226
before,5.9186362744273415,5.0478184596231115,6.474732408371561,5.150309906926975
after,5.021448397678526,5.749533133382378,11.806395932419628,5.348165795158588
next,4.390613171839515,5.715579197555317,5.541796827362358,4.461852173386364
once,2.0719432528667956,2.959651406258842,3.3091304796480268,2.440895600734893
later,1.73549779908599,2.156074925018392,4.39544461017458,2.4671417899901074
until,1.5953121933439876,2.0994850319732894,2.900590061820467,2.0189376350164543
at the time,0.8887767404042953,0.7413275988908381,1.2002926856724734,0.706628172255759
earlier,0.7906468163848936,0.7696225454133891,0.7673617951387912,0.6198138539500515
eventually,0.6560686348725713,1.4543602512591252,1.718590230677586,0.8641053077870424
at the same time,0.6084055289202904,0.3282213796615924,0.20919520821020834,0.7671963013062526
at that point,0.5299015897047691,0.2659724973119801,0.08489760691938948,0.1897801376915467
ultimately,0.4429865141447276,0.7130326523682871,0.6013189617163388,0.5047344087541136
whenever,0.409341968766647,0.7017146737592665,0.2500023452377602,0.3573519613979124
upon,0.347660302240166,0.4074472299247354,0.9329355810092027,0.6359653550301831
meanwhile,0.10934477247876188,0.23201856148491878,0.5586356344806237,0.1191173204659708
