,Monolog,Dialog,Cooperative Monolog,Speech
and,255.42,124.41,153.38,67.08
so,85.33,46.64,12.46,14.88
but,64.98,24.72,35.88,11.82
for,56.68,31.03,49.87,13.07
with,45.88,23.28,38.24,11.19
because,37.47,12.41,0.0,5.39
as,30.17,15.78,35.76,8.04
when,28.89,12.12,14.44,6.03
if,28.08,16.3,11.89,6.74
or,27.87,17.04,15.91,6.25
then,20.43,10.56,7.22,3.9
also,10.54,6.0,6.84,2.59
still,8.25,3.39,5.83,1.19
before,6.46,0.0,6.46,1.29
after,5.48,3.18,11.78,1.34
next,0.0,3.17,5.53,0.0
