Data,News,Discussion,Science/Education,Documentary,Presentation
Temporal,13.674610772408927,14.38740528855602,15.296427666582215,20.570581753529613,14.095653856661507
Contingency,29.530911472766665,28.55045090289757,27.07198505193818,18.226132025567136,24.119217284400328
Comparison,10.04433919484053,11.435246850230364,9.884880922219407,12.41929107919357,9.082733812949641
Expansion,46.750138559983874,45.626896958316046,47.746706359260195,48.78399514170968,52.702395045988524
