Data,Temporal,Contingency,Comparison,Expansion
News,55.96,120.85,41.1,191.31
Discussion,119.8,237.73,95.22,379.92
Science/Education,66.16,117.1,42.76,206.53
Documentary,99.14,87.84,59.86,235.12
Speech,24.98,42.74,16.09,93.39
