Data,Temporal,Contingency,Comparison,Expansion
News,13.67,29.53,10.04,46.75
Discussion,14.39,28.55,11.44,45.63
Science/Education,15.3,27.07,9.88,47.75
Documentary,20.57,18.23,12.42,48.78
Presentation,14.1,24.12,9.08,52.7
