Data,Effectsize,T-Statistic,P-Value,0.05 significant,0.1 significant
"Dialog, Monolog",-0.08239058285095134,-1.0453438837374343,0.2962857089908726,no,no
"Dialog, Cooperative-Monolog",0.08865585784169593,1.4663152939504207,0.14330832593884468,no,no
"Dialog, Speech",-0.3388929408154244,-7.1473009007531525,2.18436137713014e-12,yes,yes
"Monolog, Cooperative-Monolog",0.1602018826910054,2.4170483795282838,0.01612816459668951,no,yes
"Monolog, Speech",-0.2529097998639698,-4.745407691710376,2.679361791294191e-06,yes,yes
"Cooperative-Monolog, Speech",-0.40386362954343497,-12.820538114747265,1.1411596651749247e-36,yes,yes
