Data,Temporal,Contingency,Comparison,Expansion
Dialog,1.2,2.41,0.96,3.94
Monolog,1.26,2.54,0.81,4.18
Cooperative-Monolog,1.65,1.41,0.99,3.86
Speech,1.2,2.06,0.77,4.49
