Data,Effectsize,T-Statistic,P-Value,0.05 significant,0.1 significant
"Dialog, Monolog",-0.28122293935972836,-3.555095116015411,0.00042670942639845945,yes,yes
"Dialog, Cooperative-Monolog",-0.401428406653025,-9.809550450611413,8.313299224580613e-22,yes,yes
"Dialog, Speech",-0.046746523901687514,-0.8256243721417579,0.40942718381932997,no,no
"Monolog, Cooperative-Monolog",-0.014938608059690786,-0.22383605277107996,0.8230088904364564,no,no
"Monolog, Speech",0.2579030045769075,3.4062323505484198,0.0007401104468670993,yes,yes
"Cooperative-Monolog, Speech",0.366146160543937,11.88331702460331,7.10480379683302e-32,yes,yes
