Data,Effectsize,T-Statistic,P-Value
"Monolog, Dialog",0.23918981580758242,0.33826548149660557,0.7466989066856551
"Monolog, Cooperative Monolog",0.2639123329707546,0.37322840056476536,0.7230009937447197
"Monolog, Speech",-0.28144635846210153,-0.3980252572176238,0.7087117529508026
"Dialog, Cooperative Monolog",0.06937021908996216,0.09810430466181748,0.9254037239171793
"Dialog, Speech",-0.4383281170233033,-0.6198895678638167,0.5658037957697133
"Cooperative Monolog, Speech",-0.44802805348603775,-0.633607349563573,0.5519987505152955
