names,Min,Mean,Mode,Max
Dialog,40.2027027027027,61.582958369282906,66.66666666666667,100.0
Monolog,36.0,68.1729154925745,70.0,89.2857142857143
Cooperative-Monolog,40.14598540145985,72.56196498108999,75.0,100.0
