Data,Effectsize,T-Statistic,P-Value
"Monolog, Dialog",0.3443598438552553,0.48699836151678333,0.645119740698801
"Monolog, Cooperative Monolog",0.43647644134780716,0.6172709030104135,0.5672193023149275
"Monolog, Speech",0.8852016402290425,1.251864165046821,0.2863210380686934
"Dialog, Cooperative Monolog",0.07200396952159294,0.10182899024213571,0.9225874885920095
"Dialog, Speech",0.6336470404408691,0.8961122383490501,0.42018399269479606
"Cooperative Monolog, Speech",0.7335806303355747,1.0374396765147738,0.3474320703556608
