names,Min,Mean,Mode,Max
Dialog,8.0,771.2935779816514,438.0,1948.0
Monolog,8.0,387.25705329153607,357.0,1411.0
Cooperative-Monolog,7.0,477.86516853932585,486.0,1042.0
Speech,5.0,177.20221886031266,190.0,612.0
