,News,Discussion,Science/Education,Documentary
and,96.09,214.65,107.55,122.85
for,28.54,46.4,27.46,37.17
with,20.66,39.15,20.79,29.84
but,19.53,49.05,19.76,25.99
so,13.84,35.44,12.47,6.01
or,13.54,23.12,15.37,12.78
as,13.53,23.27,14.66,27.06
if,10.91,19.3,9.03,7.05
because,10.51,35.08,10.32,0.0
then,7.22,16.09,7.76,4.92
when,6.98,24.49,9.82,10.7
also,4.08,6.03,3.7,3.75
next,2.81,0.0,0.0,0.0
still,2.73,6.8,2.75,4.06
before,2.31,5.55,2.51,4.94
after,0.0,4.68,3.49,8.53
while,0.0,0.0,0.0,4.07
