,"Δ (Monolog, Dialog)","Δ (Monolog, Cooperative Monolog)","Δ (Dialog, Cooperative Monolog)"
and,7.89,3.13,4.76
for,4.04,1.33,2.72
with,3.07,1.35,1.72
or,1.14,1.52,0.38
as,1.72,0.23,1.95
so,1.96,2.52,0.56
but,1.33,0.91,0.41
then,0.53,1.17,0.63
when,0.71,0.44,0.27
because,0.77,1.1,0.34
though,0.72,0.24,0.96
else,0.72,0.72,0.0
next,0.21,0.28,0.5
before,0.66,0.03,0.63
if,0.3,0.65,0.36
later,0.35,0.93,0.58
yet,0.32,0.53,0.2
after,0.32,1.04,0.71
instead,0.0,0.51,0.51
