,"Δ (Monolog, Dialog)","Δ (Monolog, Cooperative Monolog)","Δ (Dialog, Cooperative Monolog)"
so,18.22,44.5,26.28
and,19.54,21.87,2.33
but,10.96,9.22,1.73
if,2.6,4.9,2.3
when,3.46,3.57,0.1
because,3.98,5.78,1.8
for,2.15,0.1,2.25
then,1.86,2.3,0.44
as,1.91,0.63,2.54
with,1.7,0.13,1.56
also,1.25,0.29,0.96
or,0.67,0.49,0.19
still,1.07,0.51,0.57
anyway,1.02,1.02,0.0
before,0.8,0.8,0.0
in fact,0.87,0.0,0.87
once,0.64,1.39,0.75
however,0.0,2.39,2.39
after,0.0,2.0,2.0
