,"Δ (Monolog, Dialog)","Δ (Monolog, Cooperative Monolog)","Δ (Dialog, Cooperative Monolog)"
and,103.58,77.05,26.53
but,27.98,18.97,9.01
for,19.46,5.58,13.88
with,17.84,6.16,11.68
so,18.51,25.85,7.34
because,20.32,30.59,10.27
as,10.76,4.73,15.49
or,9.01,9.95,0.94
when,12.59,10.45,2.14
if,8.88,11.02,2.13
then,7.47,10.14,2.67
also,3.08,3.21,0.13
still,3.47,1.77,1.7
before,5.0,0.03,4.97
after,1.76,4.63,6.39
next,2.08,0.0,2.08
while,0.0,4.19,4.19
