Marker,Dialog,Monolog,Cooperative-Monolog,Speech
so,39.1044776119403,41.66503318305284,14.617451065489565,34.8259058676389
for,25.974353584191718,27.714149701772563,58.51924693318097,30.57944851509681
because,17.171887043654966,11.083419674610065,4.241631827895555,12.611942940072918
if,12.8666526522318,14.561339643247178,13.947777551928539,15.774072894174838
whatever,1.7686216803307406,1.2377138696760102,0.982810431304902,0.7563154106639293
since,0.950178684044566,0.9772899106717818,2.5973883282334134,1.1728198411855628
given,0.588606264452386,0.5208479180084568,1.602491910629625,0.8046912793647423
now that,0.38259407189405087,0.33603091484416564,0.4026830889583528,0.4106049343386075
so that,0.33354354985635204,0.4872448265240402,0.3345620752737201,1.0430309251589913
because of,0.2900988017658188,0.5012461146425471,0.5367276642732751,0.7043998442533008
as long as,0.1429472356527223,0.09520875920584694,0.2691878766570162,0.14276780762922847
therefore,0.12052413986405998,0.2436224132620201,0.29116239720044607,0.3362712824324803
in case,0.07007217433956976,0.06440592534513175,0.15382164380400926,0.09203214045520512
after all,0.058860626445238595,0.13441236593766626,0.5180493218113598,0.1699054900711479
thus,0.030831756709410692,0.08120747108734004,0.38620219855078036,0.06725425648649605
as a result,0.021021652301870926,0.03640334910811795,0.1648089040757242,0.11209042747749343
in this way,0.018218765328288138,0.025202318613312423,0.05548566437216048,0.09439193892841552
