names,Min,Mean,Mode,Max
News,8.0,409.22,357.0,1188.0
Discussion,9.0,832.67,1002.0,1948.0
Science/Education,8.0,432.55,503.0,1097.0
Documentary,7.0,481.95,486.0,1546.0
Presentation,5.0,177.2,190.0,612.0
