names,Min,Mean,Mode,Max
News,1.0,2.741866408786351,1.0,31.0
Discussion,1.0,2.783293070179437,1.0,39.0
Science/Education,1.0,2.7081778806981434,1.0,28.0
Documentary,1.0,2.6397719367230272,1.0,31.0
